Concept	Form	Year	Register	Author	AuthorGender	Source	Text	sentiment	confidence	Sentiment_Neutral	Sentiment_Positive	Gender	ConceptPair
brother	兄弟	1994	NEWS	央珍	F	XIN	参加这次会议的有21个兄弟省(区、市)气象局、16个部属司院校,以及财政部等。	Positive	0.576760828495026	No	Yes	Male	Sibling
brother	兄弟	1994	NEWS	张加祥	M	XIN	这不仅是兄弟的中国人民,也是世界爱好和平的人民正在关心和期待的。	Positive	0.969882547855377	No	Yes	Male	Sibling
wife	妻子	1994	NEWS	徐勇	M	XIN	克拉福德奖是由已故瑞典大工业家霍格尔・克拉福德与其妻子安娜-格蕾塔・克拉福德于1980年捐款设立的,它是世界上巨笔奖金之一,从1982年开始每年发放一次。	Positive	0.96425324678421	No	Yes	Female	Spouse
woman	女人	1994	NEWS	罗康雄	M	XIN	四年来,全国已有3786万城镇妇女参加了这一活动,拓宽了妇女的就业领域,涌现出一大批优秀妇女人才。	Positive	0.998622179031372	No	Yes	Female	Adult
brother	兄弟	1994	NEWS	于海生	M	XIN	朝鲜人民祝愿兄弟的中国人民在各项事业中取得更大的成就。	Positive	0.981559216976166	No	Yes	Male	Sibling
brother	兄弟	1994	NEWS	许基仁	M	XIN	更有戏剧性的是,亚运会男足八强赛对阵形势,除了中国队对沙特阿拉伯队之外,其余均是“兄弟火并”,6支队东亚战东亚--韩国对日本,中亚战中亚--乌兹别克斯坦对土库曼斯坦,西亚战西亚--科威特对阿联酋。	Positive	0.893459498882294	No	Yes	Male	Sibling
son	儿子	1994	NEWS	李生江	M	XIN	因为导游证上的编号是007号,阿合力便在自己的名片上印上了“天池jamesBond”,他的精明强干给许多中外游客留下了深刻的印象,一位从事房地产生意的香港姑娘于去年嫁给了这位哈萨克牧民的儿子。	Neutral	0.888159990310669	Yes	NA	Male	Child
sister	姐姐	1994	NEWS	李生江	M	XIN	以专门从事接待外国游客为主的卡哈尔曼兄弟俩及他们的姐姐哈丽妲,通过实践都学会讲一口相当不错的英语,成了当地正在兴起的一股牧民学“洋文”热中的佼佼者。	Positive	0.997853100299835	No	Yes	Female	Sibling
brother	兄弟	1994	NEWS	李生江	M	XIN	以专门从事接待外国游客为主的卡哈尔曼兄弟俩及他们的姐姐哈丽妲,通过实践都学会讲一口相当不错的英语,成了当地正在兴起的一股牧民学“洋文”热中的佼佼者。	Positive	0.943759560585022	No	Yes	Male	Sibling
husband	丈夫	1994	NEWS	邵建武	M	XIN	17日上午,肖远先生将其丈夫、已故艺术家陈叔亮先生的250件书画作品捐赠给浙江省黄岩市。	Positive	0.709725439548492	No	Yes	Male	Spouse
daughter	女儿	1994	NEWS	李强	M	XIN	总统女婿、总统府部长安东尼奥・拉卡略表示,如果因“亲属关系”不能参加总统竞选,他将同总统女儿离婚,以便参加1996年大选。	Neutral	0.563462197780609	Yes	NA	Female	Child
girl	女孩	1994	NEWS	刘刚	M	XIN	这对被称为友好使者的长颈鹿系“网纹长颈鹿”,雄鹿为一岁龄,呼名“坎驰”(意为调皮的男孩),雌鹿为两岁龄,呼名洛尼珂(意为好女孩)。	Positive	0.953739583492279	No	Yes	Female	Not_Adult
boy	男孩	1994	NEWS	刘刚	M	XIN	这对被称为友好使者的长颈鹿系“网纹长颈鹿”,雄鹿为一岁龄,呼名“坎驰”(意为调皮的男孩),雌鹿为两岁龄,呼名洛尼珂(意为好女孩)。	Negative	0.700680673122406	No	No	Male	Not_Adult
brother	兄弟	1994	NEWS	杨成明	M	XIN	米洛舍维奇说,近年来,由于前南斯拉夫的解体以及在前南斯拉夫大部分领土上进行的血腥内战,塞尔维亚向波黑塞族兄弟和克拉伊纳塞族兄弟无私地提供了大量物资和道义上的援助,并因此遭受国际社会制裁。	Neutral	0.673678576946259	Yes	NA	Male	Sibling
mother	母亲	1994	NEWS	张宿堂	M	XIN	由于立法的宗旨是保护母亲和婴儿的健康,修改后的法律草案名称由优生保健法改为了母婴保健法。	Positive	0.873471975326538	No	Yes	Female	Parent
brother	兄弟	1994	NEWS	朱克川	M	XIN	同一天,平壤市的党政机关和驻军部队向位于市郊兄弟山区的中国人民志愿军烈士墓献了花圈。	Neutral	0.609659731388092	Yes	NA	Male	Sibling
brother	兄弟	1994	NEWS	周建伟	M	XIN	二是纪录片电视专栏化已形成,如《祖国各地》、《长城内外》、《兄弟民族》、《人物述林》、《人民子弟兵》等。	Neutral	0.587486028671265	Yes	NA	Male	Sibling
brother	兄弟	1994	NEWS	周建伟	M	XIN	二是纪录片电视专栏化已形成,如《祖国各地》、《长城内外》、《兄弟民族》、《人物述林》、《人民子弟兵》等。	Neutral	0.587486028671265	Yes	NA	Male	Sibling
brother	兄弟	1994	NEWS	赵兰英	F	XIN	其中有,美国特纳广播系统、美国广播公司、华纳兄弟公司、日本广播协会、韩国广播公司、德国电视二台、欧洲电视联营等著名公司。	Positive	0.743852019309998	No	Yes	Male	Sibling
wife	妻子	1994	NEWS	胡泰然	M	XIN	39岁的阿朗戈同他妻子是本月3日在巴塞罗那地区一处豪华别墅里被警方逮捕的。	Negative	0.875671029090881	No	No	Female	Spouse
girl	女孩	1994	NEWS	邵建武	M	XIN	获得本次曹禺戏剧文学奖的有,戏曲《山歌情》、《大河谣》、《铁血女真》、《风流小镇》、《董生与李氏》、《金龙与蜉蝣》、《甲申祭》、《贵人遗香》,歌剧《张骞》,话剧《北京往北是北大荒》、《李大钊》、《结伴同行》、《水下村庄》,儿童剧《潇洒女孩》。	Positive	0.984326303005218	No	Yes	Female	Not_Adult
girl	女孩	1994	NEWS	邵建武	M	XIN	获得本届曹禺戏剧文学奖的有,戏曲作品《山歌情》、《大河谣》、《铁血女真》、《风流小镇》、《董生与李氏》、《金龙与蜉蝣》、《甲申祭》、《贵人遗香》,歌剧《张骞》,话剧《北京往北是北大荒》、《李大钊》、《结伴同行》、《水下村庄》,儿童剧《潇洒女孩》。	Positive	0.986023187637329	No	Yes	Female	Not_Adult
mother	母亲	1994	NEWS	邵建武	M	XIN	贵州省话剧团最近在京演出的大型话剧《母亲河》以素描手法,把一个近乎传奇的故事处理得朴实而又凝重,为此间专家、观众所称道。	Positive	0.689830303192139	No	Yes	Female	Parent
mother	母亲	1994	NEWS	邵建武	M	XIN	就象文化部常务副部长高占祥说的,《母亲河》自始至终感人。	Positive	0.859818279743195	No	Yes	Female	Parent
man	男人	1994	NEWS	刘关权	M	XIN	张犯在山东中医学院科技开发培训中心骨针班学习期间,多次与本班女学生李某某发生两性关系,后因李某某与其他男人来往对其疏远,便采用匿名小字报对李进行侮辱、诽谤。	Negative	0.990417003631592	No	No	Male	Adult
husband	丈夫	1994	NEWS	徐勇	M	XIN	面对未婚夫肾脏衰竭、可能丧生的前景,一位中年美国妇女并没有撤回婚约,而是在医院中与他结为患难夫妻,并在日前实现了结婚前的主动承诺:把自己的部分肾脏捐献给丈夫。	Neutral	0.588903665542603	Yes	NA	Male	Spouse
husband	丈夫	1994	NEWS	徐勇	M	XIN	现年45岁的维多利亚・英格拉姆―柯利与比她大1岁的丈夫兰德尔是10月11日在加利福尼亚州圣迪戈市的夏普纪念医院举行婚礼的。	Positive	0.499096482992172	No	Yes	Male	Spouse
wife	妻子	1994	NEWS	徐勇	M	XIN	4位医生总共用了大约5个小时,从妻子体内取出部分肾脏,植入丈夫的体内。	Negative	0.515084266662598	No	No	Female	Spouse
husband	丈夫	1994	NEWS	徐勇	M	XIN	4位医生总共用了大约5个小时,从妻子体内取出部分肾脏,植入丈夫的体内。	Neutral	0.943076908588409	Yes	NA	Male	Spouse
husband	丈夫	1994	NEWS	徐勇	M	XIN	主持手术的罗伯特・门德斯医生介绍说,移植手术相当成功,维多利亚捐出的部分肾脏在兰德尔体内似乎正十分正常地发挥着功能,两人的身体都在康复过程中,如果顺利的话,他们有可能下星期双双出院回家,丈夫还有可能恢复生育能力。	Positive	0.939428925514221	No	Yes	Male	Spouse
woman	女人	1994	NEWS	刘刚	M	XIN	他们同时认为,考虑到符合条件的内地子女人数较多,有必要逐步增加上述人员赴港定居名额,使他们在1997年7月1日前尽可能多地逐步赴港定居。	Neutral	0.513599097728729	Yes	NA	Female	Adult
father	父亲	1994	NEWS	魏健翔	M	XIN	这位小“灵童”的父亲是青海微电机厂退休工人金绳华。	Neutral	0.705609738826752	Yes	NA	Male	Parent
son	儿子	1994	NEWS	魏健翔	M	XIN	金绳华1989年“病退”后,便专心辅导儿子系统自学,直至今年夏天完成小学及初中各学科学习内容。	Positive	0.995402097702026	No	Yes	Male	Child
father	父亲	1994	NEWS	赵兰英	F	XIN	受父亲的影响,尤金・卓别林十分向往中国,他是10名国际评委中第一个到达上海的,比开幕提前了两天。	Positive	0.997872829437256	No	Yes	Male	Parent
father	父亲	1994	NEWS	赵兰英	F	XIN	谈起父亲,他说:“从电影上看是一个人,作为我爸爸他又是另一个人。	Positive	0.882373750209808	No	Yes	Male	Parent
father	父亲	1994	NEWS	赵兰英	F	XIN	电影上,他跟我有一定距离,而在生活中他是一个温和而又严厉的父亲。	Positive	0.655960619449615	No	Yes	Male	Parent
father	父亲	1994	NEWS	赵兰英	F	XIN	尤金・卓别林很为没有带来那张父亲与周总理、陈毅外长的照片而遗憾。	Negative	0.750498592853546	No	No	Male	Parent
girl	女孩	1994	NEWS	赵鹏	M	XIN	上梅村一位13岁的女孩袁玉梅写信向陈祥龙哭诉,母亲去世了,染上嗜赌恶习的父亲因还不了赌债离家出走,她自己交不起学费失学流浪。	Negative	0.487433731555939	No	No	Female	Not_Adult
mother	母亲	1994	NEWS	赵鹏	M	XIN	上梅村一位13岁的女孩袁玉梅写信向陈祥龙哭诉,母亲去世了,染上嗜赌恶习的父亲因还不了赌债离家出走,她自己交不起学费失学流浪。	Negative	0.994967639446258	No	No	Female	Parent
father	父亲	1994	NEWS	赵鹏	M	XIN	上梅村一位13岁的女孩袁玉梅写信向陈祥龙哭诉,母亲去世了,染上嗜赌恶习的父亲因还不了赌债离家出走,她自己交不起学费失学流浪。	Negative	0.989197432994842	No	No	Male	Parent
father	父亲	1994	NEWS	赵鹏	M	XIN	他立即拿出自己的300元钱送给小玉梅继续上学,又派人找回了她的父亲。	Positive	0.894505202770233	No	Yes	Male	Parent
mother	母亲	1994	NEWS	赵兰英	F	XIN	从小母亲就教育我们,一个人要吃得起苦,苦尽才会甘来。	Positive	0.997627198696136	No	Yes	Female	Parent
daughter	女儿	1994	NEWS	徐勇	M	XIN	参与研究的科学家在最近举行的美国心脏协会年会上报告说,在体内低密度脂蛋白含量过高、年龄介于7至10岁之间的男女儿童身上进行的试验表明,低脂肪食物可以在不牺牲儿童生长能力的同时发挥降低胆固醇水平的作用。	Neutral	0.823745489120483	Yes	NA	Female	Child
daughter	女儿	1994	NEWS	夏海涛	M	XIN	法老女儿乌姆尼尔斯爱着埃军司令拉达姆斯,而拉达姆斯却钟情于被俘获的埃塞俄比亚公主阿伊妲,并同她一起殉情。	Positive	0.818349063396454	No	Yes	Female	Child
daughter	女儿	1994	NEWS	夏海涛	M	XIN	法老女儿乌姆尼米斯由意大利著名歌剧演员布鲁娜扮演。	Neutral	0.6048184633255	Yes	NA	Female	Child
mother	母亲	1994	NEWS	徐勇	M	XIN	该中心指出,它所作的仅仅是初步研究,涉及694名先天缺陷婴儿的母亲和2984名健康婴儿的母亲之间的比较,因而有待更多有关研究的进一步确认。	Neutral	0.949296116828918	Yes	NA	Female	Parent
daughter	女儿	1994	NEWS	张有浩	M	XIN	他说,中国政府积极开展了防治艾滋病的宣传教育活动,十分重视保护妇女儿童免受艾滋病的影响,高度关注国际上使用避孕套来预防和减少艾滋病病毒传播的经验,并且开展了输血系统对艾滋病病毒的常规筛查,以保障血源供应的安全。	Positive	0.886518180370331	No	Yes	Female	Child
father	父亲	1994	NEWS	赵兰英	F	XIN	孩子们十分尊重他们的父亲,理解父亲的愿望。	Positive	0.99880850315094	No	Yes	Male	Parent
mother	妈妈	1994	NEWS	刘刚	M	XIN	“未婚妈妈”问题在台湾日趋严重,已成为困扰宝岛的一大社会问题。	Negative	0.990729033946991	No	No	Female	Parent
mother	妈妈	1994	NEWS	刘刚	M	XIN	目前台湾社会尚未建立对未婚少女进行关心保护的措施,一些未婚妈妈的结局十分悲惨,有些已怀孕的少女学生因无法摆脱自身的困境,也得不到家庭的照料,心理矛盾重重,有的自虐以求流产,对身心造成极大危害,甚至有个别少女为此轻生。	Negative	0.991036891937256	No	No	Female	Parent
mother	妈妈	1994	NEWS	刘刚	M	XIN	台湾社会学家研究发现,在这些未婚妈妈中,绝大部分人年幼无知,7成以上的少女个性尚未成熟,多数少女来自破碎家庭,对前途彷徨不安。	Negative	0.995830237865448	No	No	Female	Parent
mother	妈妈	1994	NEWS	刘刚	M	XIN	造成“未婚妈妈”大量出现的主要原因在于岛内世风日下,社会不良风气对青少年的反面影响日深,而青少年又普遍缺乏自我识别能力和自我保护意识,以致不少少男少女犯下大错,造成终生阴影。	Negative	0.993585884571075	No	No	Female	Parent
mother	妈妈	1994	NEWS	刘刚	M	XIN	目前,台湾已有一些社会组织开设了“未婚妈妈之家”,接受未婚怀孕少女寄宿待产,产后将婴儿供人领养,同时也对受害少女作一些心理辅导。	Neutral	0.855115056037903	Yes	NA	Female	Parent
mother	妈妈	1994	NEWS	刘刚	M	XIN	有关人士呼吁从整顿社会风气入手,解决“未婚妈妈”问题。	Negative	0.910547971725464	No	No	Female	Parent
girl	女孩	1994	NEWS	林民忠	M	XIN	医生把一个因故死亡的儿童的心和肺移植给一个患晚期肺纤维瘤的女孩,又把这个女孩健康的心脏移植到另一个患扩张化急性心肌炎的男孩身上。	Negative	0.466889023780823	No	No	Female	Not_Adult
boy	男孩	1994	NEWS	林民忠	M	XIN	医生把一个因故死亡的儿童的心和肺移植给一个患晚期肺纤维瘤的女孩,又把这个女孩健康的心脏移植到另一个患扩张化急性心肌炎的男孩身上。	Neutral	0.687783122062683	Yes	NA	Male	Not_Adult
man	男人	1994	NEWS	胡泰然	M	XIN	男人中的抽烟者已由1978年占百分之六十四点七减少到现在的百分之四十八。	Neutral	0.683235168457031	Yes	NA	Male	Adult
brother	兄弟	1994	NEWS	景旭峰	M	XIN	新华社南京12月30日电(记者景旭峰)江苏精心安排元旦春节期间农村市场供应,确保让农民兄弟过上舒心年。	Positive	0.994925737380981	No	Yes	Male	Sibling
brother	兄弟	1994	NEWS	景旭峰	M	XIN	不少基层供销社还组织送货下乡,送货上门,尽力搞好节日商品供应,做到让农民兄弟满意。	Positive	0.995858252048492	No	Yes	Male	Sibling
brother	兄弟	1995	NEWS	邵建武	M	XIN	兄弟省市的新闻出版局局长也都说:“你们河北教育出版社出的这套书很有价值,为出版界做了一件好事。	Positive	0.86404550075531	No	Yes	Male	Sibling
father	父亲	1995	NEWS	徐金鹏	M	XIN	新华社海口1月8日电(记者徐金鹏)海南海上安全监督局万宁县龙滚导航台的徐文辉投书新闻单位,披露他在父亲病故后奔丧的经历:龙滚邮局离他所在的单位仅有6公里,加急电报在第七天才送给他;海南到四川绵阳,有2400公里,跨海之后两次转车,在民航、铁路员工的帮助下,他得以在一日之内还家奔丧。	Negative	0.986712098121643	No	No	Male	Parent
father	父亲	1995	NEWS	徐金鹏	M	XIN	徐文辉是家里的独生子,16年前父亲支持他参军来海南保卫祖国,尔后又支持他留在海南工作。	Positive	0.982414662837982	No	Yes	Male	Parent
father	父亲	1995	NEWS	徐金鹏	M	XIN	他父亲病故的加急电报龙滚邮局在去年10月19日15时收到,但送给他已经是10月25日,令人气愤的是从邮局到导航台仅6公里。	Negative	0.984293878078461	No	No	Male	Parent
father	父亲	1995	NEWS	徐金鹏	M	XIN	然而当他紧赶慢赶,回到绵阳老家时,已是父亲去世后的第九天了。	Negative	0.95016223192215	No	No	Male	Parent
man	男人	1995	NEWS	侯凤菁	F	XIN	匈牙利提高妇女退休年龄线的理由还在于,妇女的平均寿命比男人长。	Positive	0.802787840366364	No	Yes	Male	Adult
wife	妻子	1995	NEWS	徐机玲	F	XIN	供肝者是张寿银24岁的妻子席爱梅,手术时,医生从席爱梅体内切下三分之一(380克)肝脏及部分胆管,同时全部切除(保留腔静脉)张寿银癌肿病变达百分之九十的病肝,并及时进行肝脏植入吻合术。	Positive	0.777015268802643	No	Yes	Female	Spouse
son	儿子	1995	NEWS	严鸿璋	M	XIN	据土耳其半官方的阿纳多卢通讯社今天报道,一位美国空军中校和他的儿子在土耳其西北部的卡尔塔利亚滑雪场被黎巴嫩武装分子绑架。	Neutral	0.835997521877289	Yes	NA	Male	Child
son	儿子	1995	NEWS	严鸿璋	M	XIN	据该通讯社报道,自称是“黎巴嫩自由战士”组织的一名男子今天下午打电话给该通讯社,声称是他们绑架了37岁的美国空军中校迈克尔・库依拉德和他10岁的儿子马修,并扬言如果以色列不在48小时之内释放它去年5月抓走的黎巴嫩反以游击队领导人阿布・阿里,他们就将处死这对人质。	Neutral	0.900255739688873	Yes	NA	Male	Child
daughter	女儿	1995	NEWS	顾震球	M	XIN	她高度赞扬了中国政府在保护妇女儿童的合法权益等方面取得的成绩。	Positive	0.772695660591125	No	Yes	Female	Child
daughter	女儿	1995	NEWS	顾震球	M	XIN	她同时还向周寒琼介绍了由她发起的旨在提高尼日利亚妇女社会地位和改善妇女儿童福利的“家庭援助计划”。	Positive	0.690128326416016	No	Yes	Female	Child
brother	兄弟	1995	NEWS	张学全	M	XIN	他们说:上海作为我国重要科研基地,理应对兄弟省市经济发展作出更大贡献。	Positive	0.982737183570862	No	Yes	Male	Sibling
brother	兄弟	1995	NEWS	张学全	M	XIN	现在,上海每年有一万多科技人员奔赴兄弟省市进行技术开发、技术咨询。	Positive	0.808417558670044	No	Yes	Male	Sibling
wife	妻子	1995	NEWS	刘关权	M	XIN	旅客张益云是一位会计师,带着妻子、女儿准备乘坐298次快车去北京,再转车去长沙老家。	Neutral	0.964560270309448	Yes	NA	Female	Spouse
daughter	女儿	1995	NEWS	刘关权	M	XIN	旅客张益云是一位会计师,带着妻子、女儿准备乘坐298次快车去北京,再转车去长沙老家。	Neutral	0.96569174528122	Yes	NA	Female	Child
boy	男孩	1995	NEWS	何懋绩	M	XIN	年仅6岁的小男孩赵岭也是一个冬泳爱好者,今天他兴致勃勃地参加了冬泳表演,赢得了观众的阵阵掌声。	Positive	0.858541905879974	No	Yes	Male	Not_Adult
brother	兄弟	1995	NEWS	端木来娣	F	XIN	他说,海峡两岸人民都是骨肉同胞,有什么前嫌宿怨不可以捐弃的呢?鲁迅有句名言“历尽劫波兄弟在,相逢一笑泯恩仇。	Positive	0.837344467639923	No	Yes	Male	Sibling
brother	兄弟	1995	NEWS	衡志诚	M	XIN	灾情发生后,兄弟省区市和中央国家机关伸出援助之手,捐助大批衣物、药品、食品。	Positive	0.981701612472534	No	Yes	Male	Sibling
brother	兄弟	1995	NEWS	胡泰然	M	XIN	在两封同一内容的信中,卡洛斯国王表示他本人以及西班牙政府和人民对秘、厄两个兄弟国家之间发生武装冲突导致伤亡感到遗憾和不安,同时表示西班牙将为两国恢复和平而尽一切努力。	Neutral	0.719197988510132	Yes	NA	Male	Sibling
brother	兄弟	1995	NEWS	张学全	M	XIN	主动为兄弟省市经济发展服务,将新技术新成果送上门,也是上海技术交易日益红火的重要因素。	Positive	0.988947510719299	No	Yes	Male	Sibling
girl	女孩	1995	NEWS	周锡生	M	XIN	这位残疾儿在善良好胜的母亲的鼓励和安排下忍辱走进了当地学校,并渐渐与心地善良的弱小女孩珍妮结为好友。	Positive	0.93773889541626	No	Yes	Female	Not_Adult
mother	母亲	1995	NEWS	周锡生	M	XIN	这位残疾儿在善良好胜的母亲的鼓励和安排下忍辱走进了当地学校,并渐渐与心地善良的弱小女孩珍妮结为好友。	Positive	0.975017309188843	No	Yes	Female	Parent
daughter	女儿	1995	NEWS	曲北林	M	XIN	有记者问她只身回国,别离远在美国只有2岁8个月的女儿,能否舍得。	Positive	0.549917161464691	No	Yes	Female	Child
father	爸爸	1995	NEWS	曲北林	M	XIN	袁伟民当初带老女排时,儿子6岁了还不肯叫他爸爸。	Neutral	0.567161917686462	Yes	NA	Male	Parent
son	儿子	1995	NEWS	曲北林	M	XIN	袁伟民当初带老女排时,儿子6岁了还不肯叫他爸爸。	Negative	0.962832868099213	No	No	Male	Child
woman	女人	1995	NEWS	张忠义	M	XIN	访问期间,陈慕华一行拜会了韩国总统金泳三和韩国国会议长黄珞周以及第二政务长官金长淑等,并同韩国政界妇女人士和韩国妇女社会团体负责人举行了恳谈会,向她们介绍了中国妇女的现状和即将在北京举行的第4次世界妇女大会的筹备情况,并听取了她们对本次大会的意见。	Positive	0.657817482948303	No	Yes	Female	Adult
brother	兄弟	1995	NEWS	黄慧珠	F	XIN	白俄罗斯总统卢卡申科不久前指出:“白俄罗斯与俄罗斯命运攸关,永远是兄弟。	Positive	0.997099876403809	No	Yes	Male	Sibling
father-in-law	岳父	1995	NEWS	徐振强	M	XIN	这次电话窃听事件发生在去年12月15日至22日,窃听的对象是一位涉嫌敲诈勒索的法官的岳父。	Negative	0.607061564922333	No	No	Male	Parent_In_Law
son	儿子	1995	NEWS	陈美凤	F	XIN	“多生儿子多得福”的旧习俗,如今在吉林省农村已被“少生孩子多致富”的新风尚所取代。	Positive	0.987917482852936	No	Yes	Male	Child
brother	兄弟	1995	NEWS	翟景升	M	XIN	这次调查是由联合国环境规划署和总部设在纽约的萨洛蒙兄弟公司共同对全世界177家投资和商业银行进行的。	Neutral	0.847561419010162	Yes	NA	Male	Sibling
daughter	女儿	1995	NEWS	王卫军	M	XIN	在泰国优秀妇女发奖大会上获奖的妇女共17名,分别来自计划生育、妇女儿童教育、妇联组织、村区基层妇女等工作单位。	Neutral	0.521990537643433	Yes	NA	Female	Child
daughter	女儿	1995	NEWS	刘也刚	M	XIN	温妮还要求她的女儿金齐拥有该公司百分之五十的股份,同时让她的私人医生也拥有这家公司的部分股份。	Positive	0.578023731708527	No	Yes	Female	Child
wife	妻子	1995	NEWS	刘也刚	M	XIN	她是曼德拉总统的妻子,但已分居。	Positive	0.359378904104233	No	Yes	Female	Spouse
brother	兄弟	1995	NEWS	翟景升	M	XIN	美国莱曼兄弟公司驻香港的一位经济学家认为,这种情况表明,“发展中国家和地区的经济已开始接过了领导世界经济增长的方向盘”。	Neutral	0.644819617271423	Yes	NA	Male	Sibling
brother	兄弟	1995	NEWS	翟景升	M	XIN	萨洛蒙兄弟公司、美林与莱曼兄弟控股公司、摩根―斯坦利公司等华尔街6大金融集团经过多方磋商都自愿表示接受关于衍生金融交易管理的统一标准。	Neutral	0.91573041677475	Yes	NA	Male	Sibling
son	儿子	1995	NEWS	丁强	M	XIN	阿根廷总统梅内姆15日致电第十二届泛美运动会组委会时表示,不要因为他儿子的不幸遇难而影响该届运动会的进程。	Negative	0.990098297595978	No	No	Male	Child
son	儿子	1995	NEWS	丁强	M	XIN	梅内姆说,泛美运动会能够继续正常进行是对他的儿子小梅内姆“最好的怀念”,他对能在这个机会迎接泛美大家庭“感到自豪”。	Positive	0.997493505477905	No	Yes	Male	Child
father	父亲	1995	NEWS	丁强	M	XIN	12岁便由梅内姆带着去赛车场,18岁驾驶他父亲曾使用过的标致504汽车,第一次参加了在乌拉圭举行的一次汽车拉力赛。	Positive	0.819879949092865	No	Yes	Male	Parent
mother	妈妈	1995	NEWS	周锡生	M	XIN	他出生4个月就能叫“妈妈”和“爸爸”,1岁时能读出杂货店出售的肥皂商标,3岁时开始学算术,4岁时智商高达200,10岁获南亚拉巴马州大学的人类学学士学位。	Neutral	0.678500056266785	Yes	NA	Female	Parent
father	爸爸	1995	NEWS	周锡生	M	XIN	他出生4个月就能叫“妈妈”和“爸爸”,1岁时能读出杂货店出售的肥皂商标,3岁时开始学算术,4岁时智商高达200,10岁获南亚拉巴马州大学的人类学学士学位。	Positive	0.555278122425079	No	Yes	Male	Parent
woman	女人	1995	NEWS	明大军	M	XIN	她说,中国妇女占全世界妇女人数的五分之一,中国妇女问题解决得好,无疑对全球的妇女事业和人类的进步与发展都是一个促进和贡献。	Positive	0.990141093730926	No	Yes	Female	Adult
wife	妻子	1995	NEWS	刘也刚	M	XIN	温妮是曼德拉业已分居两年的妻子。	Positive	0.824780166149139	No	Yes	Female	Spouse
husband	丈夫	1995	NEWS	刘也刚	M	XIN	曼德拉在27年监狱生涯中,温妮积极支持丈夫的事业,为此历尽坎坷,一度成为非洲人国民大会(非国大)的领导人之一,在黑人妇女和青年中颇有影响。	Positive	0.693594038486481	No	Yes	Male	Spouse
wife	妻子	1995	NEWS	徐江善	M	XIN	甘雷同志、崔大庆烈士的妻子王波和烈士的父母出席表彰会。	Positive	0.930258333683014	No	Yes	Female	Spouse
brother	兄弟	1995	NEWS	林勇	M	XIN	贵州省牧科所高级畜牧兽医师张开邦近年来踏遍青山,把“北羊南移”的论文写在黔南大地上,给成千上万的布依族兄弟送去了致富的“金钥匙”。	Positive	0.962429106235504	No	Yes	Male	Sibling
brother	兄弟	1995	NEWS	王发恩	M	XIN	今天的《澳人报》则称之为厄尔尼诺的“孪生兄弟”。	Positive	0.533059120178223	No	Yes	Male	Sibling
brother	兄弟	1995	NEWS	王发恩	M	XIN	贝利认为,人们对厄尔尼诺现象的研究倾注了大量的科学努力,相比之下,“印度洋如同一个可怜的兄弟,而澳大利亚的大部分雨量则来自那个地区”。	Negative	0.891270041465759	No	No	Male	Sibling
wife	妻子	1995	NEWS	周甲禄	M	XIN	在前天的报告会上,踏遍祖国的山山水水、为我国地质工作辛勤耕耘的中科院院士殷鸿福,11年悉心照顾卧床不起的妻子、11年负重攀登科学高峰、在儿童语言研究方面填补了学科空白的华中师范大学38岁的教授李宇明,30年来一直扎根鄂西北山区、为那里的医疗事业作出了不可磨灭贡献的章道熙老教授,在两度赴美留学期间谢绝高薪聘请、立志将所学的知识报效祖国、年仅33岁的博士导师邓秀新,分别介绍了自己的事迹和所感所想,赢得阵阵掌声。	Positive	0.993574678897858	No	Yes	Female	Spouse
mother	母亲	1995	NEWS	张淑英	F	XIN	她还呼吁全社会多给贫困地区的母亲们一点支持。	Positive	0.870483100414276	No	Yes	Female	Parent
mother	母亲	1995	NEWS	张淑英	F	XIN	幸福工程是一项以救助贫困家庭母亲为使命的社会慈善活动,通过动员海内外各界的资金和力量,扶助她们提高自身素质,实现少生、优生、优育,建设文明幸福的家庭,进而促进贫困地区人口、经济和社会的协调发展。	Positive	0.982233941555023	No	Yes	Female	Parent
wife	妻子	1995	NEWS	徐机玲	F	XIN	今年3、4月份,先后有两位赌徒的妻子和两位参赌青少年的家长直接写信给王武龙市长,呼吁取缔赌博游戏机,“救救我丈夫”、“救救孩子”。	Neutral	0.888258099555969	Yes	NA	Female	Spouse
husband	丈夫	1995	NEWS	徐机玲	F	XIN	今年3、4月份,先后有两位赌徒的妻子和两位参赌青少年的家长直接写信给王武龙市长,呼吁取缔赌博游戏机,“救救我丈夫”、“救救孩子”。	Positive	0.931998193264008	No	Yes	Male	Spouse
wife	妻子	1995	NEWS	刘也刚	M	XIN	温妮是曼德拉的分居妻子。	Positive	0.869009137153625	No	Yes	Female	Spouse
husband	丈夫	1995	NEWS	刘也刚	M	XIN	随后,林弗・哈尼为丈夫的墓碑揭下帷幕。	Negative	0.41056290268898	No	No	Male	Spouse
wife	妻子	1995	NEWS	刘也刚	M	XIN	南非总统曼德拉21日晚托人将一束鲜花送给正在医院治病的妻子温妮,并附送一张卡片,希望她早日康复。	Positive	0.593289256095886	No	Yes	Female	Spouse
woman	女人	1995	NEWS	张淑英	F	XIN	顶花带刺的黄瓜人见人爱,孰不知,现在市场上卖的优良黄瓜品种大多出自一个女人的发明。	Positive	0.976816713809967	No	Yes	Female	Adult
